mileage,make,model,fuel,gear,offerType,price,hp,year,make_model
9500,Skoda,Octavia,1,1,1,42680,245.0,2020,SkodaOctavia
146,Volkswagen,T-Roc,1,1,2,44740,300.0,2020,VolkswagenT-Roc
8520,Renault,Twingo,1,0,0,10440,90.0,2020,RenaultTwingo
6000,Volkswagen,up!,1,0,1,12222,60.0,2020,Volkswagenup!
10,Renault,Twingo,1,0,3,12790,73.0,2020,RenaultTwingo
7890,Volkswagen,Polo,1,0,0,15440,95.0,2020,VolkswagenPolo
27308,Ford,Focus,0,0,0,18500,150.0,2020,FordFocus
10,Renault,Captur,1,0,3,19490,101.0,2020,RenaultCaptur
6949,Volkswagen,Golf Variant,1,0,0,19790,116.0,2020,VolkswagenGolf Variant
3170,Volkswagen,Golf,1,0,2,19900,90.0,2020,VolkswagenGolf
9463,Volkswagen,Golf Sportsvan,1,0,0,19990,116.0,2020,VolkswagenGolf Sportsvan
25705,Volkswagen,Golf,1,0,2,20890,131.0,2020,VolkswagenGolf
6000,Renault,Captur,1,0,1,20950,131.0,2020,RenaultCaptur
4899,Volkswagen,T-Roc,1,1,1,37900,150.0,2021,VolkswagenT-Roc
4900,Skoda,Superb,0,1,2,41970,200.0,2021,SkodaSuperb
22500,Volkswagen,Golf,1,1,1,41990,300.0,2021,VolkswagenGolf
1899,Volkswagen,Golf,0,1,1,44777,200.0,2021,VolkswagenGolf
4899,Volkswagen,Caddy,0,1,1,44900,122.0,2021,VolkswagenCaddy
4899,Volkswagen,Tiguan,0,1,1,44900,150.0,2021,VolkswagenTiguan
199985,Opel,Astra,0,0,0,4990,125.0,2011,OpelAstra
243146,Volkswagen,Golf,1,0,0,4990,102.0,2011,VolkswagenGolf
193570,Skoda,Octavia,0,0,0,4999,140.0,2011,SkodaOctavia
118000,Opel,Zafira,1,0,0,4999,116.0,2011,OpelZafira
129300,Opel,Astra,1,0,0,4999,116.0,2011,OpelAstra
133095,Skoda,Fabia,1,0,0,5100,86.0,2011,SkodaFabia
215000,Opel,Astra,0,0,0,5299,95.0,2011,OpelAstra
86000,Ford,Fiesta,1,0,0,5390,60.0,2011,FordFiesta
241000,Volkswagen,Touran,0,0,0,5990,105.0,2012,VolkswagenTouran
66000,Skoda,Fabia,1,0,0,5990,86.0,2012,SkodaFabia
103958,Skoda,Fabia,1,0,0,5990,105.0,2012,SkodaFabia
115000,Opel,Astra,1,0,0,5999,140.0,2012,OpelAstra
180000,Skoda,Octavia,0,0,0,6000,105.0,2012,SkodaOctavia
108903,Volkswagen,Golf Variant,1,0,0,6190,86.0,2012,VolkswagenGolf Variant
56000,Volkswagen,Polo,1,0,0,6200,69.0,2012,VolkswagenPolo
77500,Opel,Meriva,1,0,0,6300,120.0,2012,OpelMeriva
96535,Opel,Corsa,1,0,0,6400,87.0,2012,OpelCorsa
182500,Ford,Focus,1,0,0,6450,182.0,2012,FordFocus
95000,Opel,Adam,1,0,0,6900,87.0,2013,OpelAdam
99980,Ford,B-Max,1,0,0,6900,101.0,2013,FordB-Max
460000,Volkswagen,Caddy,0,0,0,6950,102.0,2013,VolkswagenCaddy
280000,Skoda,Octavia,0,1,0,6990,105.0,2013,SkodaOctavia
92900,Skoda,Rapid/Spaceback,1,0,0,6999,86.0,2013,SkodaRapid/Spaceback
190000,Ford,S-Max,0,0,0,7150,116.0,2013,FordS-Max
195000,Volkswagen,Golf Variant,0,1,0,7350,105.0,2013,VolkswagenGolf Variant
105300,Volkswagen,Golf,1,0,0,7399,122.0,2013,VolkswagenGolf
101240,Opel,Astra,1,0,0,7400,120.0,2013,OpelAstra
58000,Renault,Megane,1,0,0,7400,116.0,2013,RenaultMegane
146630,Opel,Astra,0,0,0,7490,165.0,2013,OpelAstra
104000,Volkswagen,Polo,1,0,0,6800,69.0,2014,VolkswagenPolo
37500,Opel,Adam,1,0,0,6950,69.0,2014,OpelAdam
205000,Volkswagen,Golf Variant,0,0,0,6990,150.0,2014,VolkswagenGolf Variant
77150,Opel,Corsa,1,0,0,6990,90.0,2014,OpelCorsa
105000,Ford,Focus,1,0,0,7200,125.0,2014,FordFocus
121500,Ford,Focus,0,0,0,7290,116.0,2014,FordFocus
102000,Ford,C-Max,1,0,0,7450,125.0,2014,FordC-Max
103700,Skoda,Rapid/Spaceback,1,0,0,7750,86.0,2015,SkodaRapid/Spaceback
37600,Ford,Fiesta,1,0,0,7780,82.0,2015,FordFiesta
201238,Ford,Focus,0,0,0,7790,150.0,2015,FordFocus
61000,Volkswagen,up!,1,0,0,7790,75.0,2015,Volkswagenup!
120466,Opel,Astra,0,0,0,7800,110.0,2015,OpelAstra
73770,Volkswagen,up!,1,1,0,7900,75.0,2015,Volkswagenup!
179000,Ford,Mondeo,0,0,0,7900,116.0,2015,FordMondeo
105000,Ford,Focus,1,0,0,7900,125.0,2015,FordFocus
149197,Ford,C-Max,0,0,0,7950,116.0,2015,FordC-Max
128800,Volkswagen,Golf,0,0,0,7980,110.0,2015,VolkswagenGolf
110200,Opel,Corsa,1,0,0,7990,116.0,2015,OpelCorsa
49000,Opel,Adam,1,0,0,7990,87.0,2015,OpelAdam
100000,Renault,Clio,0,0,0,7140,75.0,2016,RenaultClio
130000,Ford,Focus,0,0,0,7290,95.0,2016,FordFocus
35500,Volkswagen,up!,1,0,0,7350,60.0,2016,Volkswagenup!
146800,Opel,Astra,0,0,0,7380,136.0,2016,OpelAstra
45560,Opel,Corsa,0,0,0,7400,75.0,2016,OpelCorsa
28500,Skoda,Citigo,1,1,0,7490,60.0,2016,SkodaCitigo
94000,Renault,Clio,0,0,0,7500,75.0,2016,RenaultClio
35000,Renault,Twingo,1,0,0,7500,71.0,2016,RenaultTwingo
121200,Ford,Focus,0,0,0,7580,120.0,2016,FordFocus
74000,Opel,Corsa,1,0,0,7600,101.0,2016,OpelCorsa
62300,Volkswagen,up!,1,0,0,7688,60.0,2016,Volkswagenup!
129000,Renault,Kangoo,0,0,0,7735,90.0,2016,RenaultKangoo
70000,Renault,Clio,0,0,0,7750,75.0,2016,RenaultClio
38250,Volkswagen,Golf,1,1,0,16480,125.0,2017,VolkswagenGolf
79500,Volkswagen,Golf,0,1,0,16789,150.0,2017,VolkswagenGolf
98400,Skoda,Superb,0,1,0,17860,150.0,2017,SkodaSuperb
61000,Volkswagen,Golf,2,1,0,17890,136.0,2017,VolkswagenGolf
61021,Volkswagen,Passat Variant,1,1,0,18910,150.0,2017,VolkswagenPassat Variant
151450,Volkswagen,Passat,0,1,0,18980,150.0,2017,VolkswagenPassat
108300,Skoda,Octavia,0,1,0,18980,184.0,2017,SkodaOctavia
81990,Volkswagen,Touran,0,1,0,19900,150.0,2017,VolkswagenTouran
53930,Ford,Kuga,1,0,0,19970,150.0,2017,FordKuga
10613,Volkswagen,Polo,1,1,0,16440,95.0,2018,VolkswagenPolo
117350,Volkswagen,Passat Variant,0,0,0,16480,150.0,2018,VolkswagenPassat Variant
212000,Skoda,Octavia,0,1,0,16960,184.0,2018,SkodaOctavia
86850,Volkswagen,Passat Variant,0,1,0,18880,150.0,2018,VolkswagenPassat Variant
27350,Volkswagen,Golf Sportsvan,1,1,0,19490,116.0,2018,VolkswagenGolf Sportsvan
24912,Opel,Zafira,1,0,0,19750,136.0,2018,OpelZafira
148300,Skoda,Octavia,0,1,0,19890,184.0,2018,SkodaOctavia
48750,Volkswagen,up!,1,0,0,8695,75.0,2019,Volkswagenup!
25000,Opel,Adam,1,0,0,11990,87.0,2019,OpelAdam
49200,Opel,Astra,0,0,0,12400,110.0,2019,OpelAstra
16600,Skoda,Fabia,1,0,1,12990,95.0,2019,SkodaFabia
33900,Skoda,Fabia,1,0,0,13440,110.0,2019,SkodaFabia
10000,Ford,Fiesta,1,0,1,14770,101.0,2019,FordFiesta
19300,Skoda,Fabia,1,0,1,14990,95.0,2019,SkodaFabia
20990,Volkswagen,Polo,1,0,0,15790,116.0,2019,VolkswagenPolo
24449,Ford,S-Max,0,1,0,30650,190.0,2020,FordS-Max
9500,Volkswagen,Touran,1,1,0,31870,150.0,2020,VolkswagenTouran
15991,Volkswagen,Tiguan,0,1,0,31940,150.0,2020,VolkswagenTiguan
19537,Ford,Kuga,0,1,2,31990,190.0,2020,FordKuga
15038,Ford,S-Max,0,1,2,32990,190.0,2020,FordS-Max
6805,Ford,Mondeo,1,1,1,33880,140.0,2020,FordMondeo
7820,Volkswagen,T-Roc,1,1,0,33940,190.0,2020,VolkswagenT-Roc
18728,Volkswagen,Passat Variant,0,1,0,33990,190.0,2020,VolkswagenPassat Variant
8900,Skoda,Octavia,2,1,1,34330,204.0,2021,SkodaOctavia
10,Ford,Kuga,2,0,3,34690,150.0,2021,FordKuga
100,Skoda,Octavia,1,1,0,34800,245.0,2021,SkodaOctavia
9000,Skoda,Octavia,1,1,1,36590,245.0,2021,SkodaOctavia
3000,Skoda,Octavia,0,1,1,36980,150.0,2021,SkodaOctavia
10000,Volkswagen,Touran,0,1,1,39890,150.0,2021,VolkswagenTouran
100,Ford,S-Max,2,1,3,39980,190.0,2021,FordS-Max
15,Skoda,Superb,0,1,3,41960,200.0,2021,SkodaSuperb
5000,Skoda,Superb,0,1,1,46995,190.0,2021,SkodaSuperb
77172,Volkswagen,up!,1,0,0,5590,75.0,2011,Volkswagenup!
104100,Renault,Kangoo,1,0,0,5890,87.0,2011,RenaultKangoo
80000,Opel,Corsa,1,0,0,5980,87.0,2011,OpelCorsa
165583,Skoda,Octavia,0,0,0,5990,140.0,2011,SkodaOctavia
92500,Ford,Focus,1,0,0,5990,105.0,2011,FordFocus
100000,Opel,Meriva,1,0,0,5998,101.0,2011,OpelMeriva
215500,Opel,Insignia,0,0,0,5940,131.0,2012,OpelInsignia
67660,Volkswagen,up!,1,0,0,5970,75.0,2012,Volkswagenup!
78150,Ford,Fiesta,3,0,0,5990,82.0,2012,FordFiesta
57815,Skoda,Fabia,1,0,0,5999,86.0,2012,SkodaFabia
119000,Volkswagen,Golf,1,0,0,5999,80.0,2012,VolkswagenGolf
167128,Opel,Astra,0,0,0,6000,165.0,2012,OpelAstra
80275,Opel,Corsa,1,0,0,6200,87.0,2012,OpelCorsa
116000,Skoda,Rapid/Spaceback,1,0,0,6200,86.0,2012,SkodaRapid/Spaceback
112000,Volkswagen,Golf,1,0,0,6990,105.0,2013,VolkswagenGolf
91000,Volkswagen,Polo,1,0,0,6990,60.0,2013,VolkswagenPolo
68910,Renault,Kangoo,1,0,0,6990,106.0,2013,RenaultKangoo
112000,Opel,Insignia,1,0,0,6990,140.0,2013,OpelInsignia
146325,Ford,Focus,0,1,0,6999,116.0,2013,FordFocus
109957,Skoda,Fabia,0,0,0,7340,90.0,2013,SkodaFabia
124200,Opel,Astra,1,0,0,7370,101.0,2013,OpelAstra
42000,Opel,Corsa,1,0,0,7399,87.0,2013,OpelCorsa
46000,Ford,Fiesta,1,0,0,7440,82.0,2013,FordFiesta
74966,Renault,Twingo,1,0,0,6777,71.0,2014,RenaultTwingo
40400,Opel,Corsa,1,0,0,6860,69.0,2014,OpelCorsa
123896,Ford,Focus,0,0,0,6880,116.0,2014,FordFocus
110791,Skoda,Rapid/Spaceback,1,0,0,6900,86.0,2014,SkodaRapid/Spaceback
